Week,A(Subtyping not performed),A (H1N1)pdm09,A(H3N2),A(H3),B(lineage not performed),B(Victoria Lineage,B(Yamgata Lineage),Total # Tested,A(unable to sub-type)
201808,19,306,0,1073,245,116,891,4546,0
201809,12,246,0,588,204,88,699,3580,0
201810,25,144,0,411,172,88,646,3057,0
201811,25,188,0,277,174,70,542,2529,0
201812,10,120,0,234,129,52,467,2248,0
201813,8,132,0,220,107,62,455,1965,0
201814,7,120,0,163,72,54,405,1906,0
201815,2,101,0,102,54,40,297,1481,0
201816,0,51,0,86,45,43,211,1174,0
201817,1,56,0,53,53,28,138,1028,0
201818,2,40,0,31,23,14,137,831,0
201819,0,16,0,20,8,6,68,599,0
201820,0,16,0,10,10,6,27,464,0
201821,0,18,0,6,8,4,20,344,0
201822,0,8,0,5,2,2,11,265,0
201823,0,7,0,3,3,3,9,286,0
201824,0,6,0,3,2,3,8,283,0
201825,0,1,1,3,0,3,6,213,0
201826,0,2,0,6,0,0,1,197,0
201827,0,9,0,5,1,0,6,131,0
201828,0,8,0,9,1,2,3,176,0
201829,0,15,0,5,3,2,4,174,0
201830,4,9,0,3,0,2,0,243,0
201831,3,7,0,10,0,0,1,185,0
201832,5,6,0,8,1,0,2,164,0
201833,6,5,0,9,1,0,2,181,0
201834,6,17,0,20,1,0,1,259,0
201835,0,10,0,6,0,0,2,258,0
201836,0,17,0,17,1,0,1,351,0
201837,0,29,0,14,0,1,5,446,0
201838,2,22,0,17,2,1,2,535,0
201839,0,20,0,13,0,0,3,561,0
201840,8,29,0,11,0,7,11,796,0
201841,8,52,0,11,5,3,5,901,0
201842,13,51,0,21,1,2,14,1090,0
201843,3,74,0,35,3,0,13,1102,0
201844,2,84,0,23,1,1,8,1228,0
201845,14,117,0,27,4,4,7,1310,0
201846,9,147,0,40,0,2,3,1400,0
201847,9,211,0,53,1,2,5,1106,0
201848,9,322,0,63,1,2,10,1682,0
201849,14,356,0,89,8,3,7,1691,0
201850,16,667,0,166,3,7,6,2149,0
201851,78,1100,0,227,9,20,7,2607,0
201852,114,1216,0,263,9,18,9,2525,0
201901,168,1129,0,270,6,6,14,2770,0
201902,106,1348,0,218,14,2,14,3132,0
201903,114,1354,0,320,10,16,14,3117,0
201904,119,1354,0,444,19,15,9,3233,0
201905,31,1412,0,663,12,21,16,3506,0
201906,28,1516,0,894,14,11,6,3873,0
201907,84,1068,0,851,14,11,7,3226,0
201908,51,494,0,583,9,7,7,1915,0
